============ Start of Season ============
1991-02-17 | w: BOS | L: DEN
1991-02-17 | w: WAS | L: CLE
1991-02-18 | w: DAL | L: GOS
1991-02-18 | w: CHI | L: CLE
1991-02-18 | w: DET | L: SEA
1991-02-18 | w: UTH | L: SAN
1991-02-18 | w: MIN | L: DEN
1991-02-19 | w: PHL | L: SEA
1991-02-19 | w: CHI | L: WAS
1991-02-19 | w: ATL | L: NYK
1991-02-19 | w: PHX | L: BOS
1991-02-19 | w: NJN | L: SAC
1991-02-19 | w: LAL | L: HOU
1991-02-19 | w: POR | L: DAL
1991-02-19 | w: MIL | L: MIA
1991-02-19 | w: IND | L: CHH
1991-02-20 | w: CLE | L: SAC
1991-02-20 | w: PHX | L: LAC
1991-02-20 | w: DET | L: ATL
1991-02-20 | w: IND | L: ORL
1991-02-20 | w: GOS | L: MIN
1991-02-21 | w: SEA | L: NYK
1991-02-21 | w: HOU | L: MIL
1991-02-21 | w: LAL | L: DAL
1991-02-21 | w: POR | L: DEN
1991-02-21 | w: MIA | L: WAS
1991-02-22 | w: UTH | L: GOS
1991-02-22 | w: CHI | L: SAC
1991-02-22 | w: BOS | L: NJN
1991-02-22 | w: IND | L: CLE
1991-02-22 | w: LAC | L: SAN
1991-02-22 | w: PHL | L: MIA
1991-02-22 | w: POR | L: PHX
