============ Start of Season ============
1979-02-14 | w: GOS | L: NOJ
1979-02-14 | w: MIL | L: NJN
1979-02-14 | w: DET | L: DEN
1979-02-14 | w: KCK | L: PHL
1979-02-14 | w: SEA | L: ATL
1979-02-14 | w: IND | L: NYK
1979-02-15 | w: SDC | L: NOJ
1979-02-15 | w: PHX | L: WAS
1979-02-15 | w: CLE | L: PHL
1979-02-15 | w: HOU | L: POR
1979-02-16 | w: CHI | L: NYK
1979-02-16 | w: IND | L: NJN
1979-02-16 | w: SAN | L: POR
1979-02-16 | w: GOS | L: WAS
1979-02-16 | w: KCK | L: PHL
1979-02-16 | w: DET | L: HOU
1979-02-16 | w: SDC | L: DEN
1979-02-16 | w: MIL | L: LAL
1979-02-16 | w: SEA | L: PHX
1979-02-17 | w: CLE | L: NYK
1979-02-17 | w: PHX | L: NOJ
1979-02-18 | w: SDC | L: ATL
1979-02-18 | w: NJN | L: HOU
1979-02-18 | w: KCK | L: CHI
1979-02-18 | w: DEN | L: NOJ
1979-02-18 | w: DET | L: SAN
1979-02-18 | w: PHL | L: MIL
1979-02-18 | w: POR | L: BOS
1979-02-18 | w: LAL | L: IND
1979-02-18 | w: WAS | L: SEA
1979-02-20 | w: GOS | L: LAL
1979-02-20 | w: PHX | L: NYK
1979-02-20 | w: SAN | L: SEA
1979-02-20 | w: CHI | L: POR
1979-02-20 | w: ATL | L: CLE
1979-02-21 | w: KCK | L: MIL
1979-02-21 | w: NJN | L: PHX
1979-02-21 | w: BOS | L: GOS
1979-02-21 | w: DEN | L: IND
1979-02-21 | w: DET | L: PHL
1979-02-21 | w: SEA | L: NOJ
1979-02-21 | w: ATL | L: POR
1979-02-22 | w: CLE | L: KCK
1979-02-22 | w: HOU | L: WAS
1979-02-23 | w: LAL | L: BOS
1979-02-23 | w: IND | L: GOS
1979-02-23 | w: NJN | L: POR
1979-02-23 | w: SDC | L: PHL
1979-02-23 | w: KCK | L: PHX
1979-02-23 | w: NOJ | L: CHI
1979-02-23 | w: WAS | L: SEA
1979-02-24 | w: NYK | L: NJN
1979-02-24 | w: DEN | L: MIL
1979-02-24 | w: ATL | L: PHX
1979-02-24 | w: NOJ | L: CLE
1979-02-25 | w: LAL | L: IND
1979-02-25 | w: SDC | L: BOS
1979-02-25 | w: CLE | L: CHI
1979-02-25 | w: NJN | L: NYK
1979-02-25 | w: KCK | L: SEA
1979-02-25 | w: SAN | L: HOU
1979-02-25 | w: PHL | L: DEN
1979-02-25 | w: POR | L: DET
1979-02-25 | w: WAS | L: GOS
1979-02-27 | w: LAL | L: KCK
1979-02-27 | w: NYK | L: GOS
1979-02-27 | w: CHI | L: DET
1979-02-27 | w: SDC | L: IND
1979-02-27 | w: DEN | L: SEA
1979-02-27 | w: POR | L: PHL
1979-02-27 | w: ATL | L: HOU
1979-02-28 | w: SDC | L: KCK
1979-02-28 | w: SAN | L: NYK
1979-02-28 | w: MIL | L: CLE
1979-02-28 | w: PHX | L: IND
1979-02-28 | w: BOS | L: NOJ
1979-02-28 | w: SEA | L: PHL
1979-02-28 | w: WAS | L: CHI
1979-02-28 | w: HOU | L: DEN
1979-03-01 | w: ATL | L: GOS
1979-03-02 | w: LAL | L: PHL
1979-03-02 | w: NJN | L: MIL
1979-03-02 | w: SAN | L: KCK
