============ Start of Season ============
1972-01-15 | w: SEA | L: PHX
1972-01-15 | w: HOU | L: CLE
1972-01-15 | w: CHI | L: POR
1972-01-16 | w: ATL | L: PHL
1972-01-16 | w: NYK | L: HOU
1972-01-16 | w: MIL | L: POR
1972-01-16 | w: BLT | L: PHX
1972-01-16 | w: CIN | L: CLE
1972-01-20 | w: PHX | L: NYK
1972-01-20 | w: HOU | L: CIN
1972-01-21 | w: NYK | L: LAL
1972-01-21 | w: GOS | L: ATL
1972-01-21 | w: BOS | L: HOU
1972-01-21 | w: DET | L: BLT
1972-01-21 | w: PHX | L: SEA
1972-01-21 | w: MIL | L: CLE
1972-01-21 | w: PHL | L: POR
1972-01-21 | w: CHI | L: BUF
1972-01-22 | w: BLT | L: POR
1972-01-22 | w: CHI | L: HOU
1972-01-22 | w: PHX | L: LAL
1972-01-22 | w: GOS | L: PHL
1972-01-22 | w: CIN | L: CLE
1972-01-23 | w: BOS | L: POR
1972-01-23 | w: HOU | L: DET
1972-01-23 | w: BLT | L: CIN
1972-01-23 | w: NYK | L: SEA
1972-01-23 | w: ATL | L: MIL
1972-01-24 | w: CHI | L: GOS
1972-01-25 | w: LAL | L: PHX
1972-01-25 | w: NYK | L: BOS
1972-01-25 | w: HOU | L: POR
1972-01-25 | w: MIL | L: SEA
1972-01-25 | w: GOS | L: CLE
1972-01-25 | w: ATL | L: BUF
1972-01-26 | w: SEA | L: ATL
1972-01-26 | w: CLE | L: BOS
1972-01-26 | w: MIL | L: DET
1972-01-26 | w: CHI | L: HOU
1972-01-26 | w: PHL | L: CIN
1972-01-26 | w: BLT | L: BUF
1972-01-27 | w: GOS | L: CHI
1972-01-28 | w: LAL | L: HOU
1972-01-28 | w: ATL | L: DET
1972-01-28 | w: CHI | L: PHX
1972-01-28 | w: GOS | L: POR
1972-01-28 | w: MIL | L: PHL
1972-01-28 | w: BLT | L: CIN
1972-01-28 | w: SEA | L: BUF
1972-01-28 | w: BOS | L: NYK
1972-01-29 | w: GOS | L: PHX
