============ Start of Season ============
1984-01-14 | w: NYK | L: CHI
1984-01-14 | w: UTH | L: WAS
1984-01-14 | w: DET | L: CLE
1984-01-14 | w: PHL | L: GOS
1984-01-15 | w: SEA | L: LAL
1984-01-15 | w: PHX | L: WAS
1984-01-15 | w: MIL | L: BOS
1984-01-15 | w: KCK | L: SDC
1984-01-15 | w: SAN | L: POR
1984-01-15 | w: DAL | L: DEN
1984-01-15 | w: NJN | L: IND
1984-01-17 | w: LAL | L: WAS
1984-01-17 | w: ATL | L: UTH
1984-01-17 | w: GOS | L: SDC
1984-01-17 | w: NJN | L: NYK
1984-01-17 | w: HOU | L: DEN
1984-01-17 | w: CLE | L: CHI
1984-01-17 | w: POR | L: DAL
1984-01-17 | w: BOS | L: KCK
1984-01-17 | w: MIL | L: IND
1984-01-17 | w: PHL | L: DET
1984-01-18 | w: NJN | L: DET
1984-01-18 | w: SEA | L: DAL
1984-01-18 | w: MIL | L: ATL
1984-01-18 | w: SAN | L: DEN
1984-01-18 | w: SDC | L: WAS
1984-01-18 | w: PHL | L: CLE
1984-01-19 | w: GOS | L: POR
1984-01-19 | w: NYK | L: CHI
1984-01-19 | w: PHX | L: LAL
1984-01-20 | w: BOS | L: IND
1984-01-20 | w: DET | L: ATL
1984-01-20 | w: HOU | L: SAN
1984-01-20 | w: MIL | L: WAS
1984-01-20 | w: DEN | L: KCK
1984-01-20 | w: SEA | L: SDC
1984-01-20 | w: UTH | L: DAL
1984-01-20 | w: PHL | L: CLE
1984-01-21 | w: ATL | L: NYK
1984-01-21 | w: HOU | L: UTH
1984-01-21 | w: PHX | L: SEA
1984-01-21 | w: CHI | L: CLE
1984-01-21 | w: POR | L: KCK
1984-01-21 | w: SAN | L: LAL
1984-01-21 | w: DAL | L: IND
1984-01-21 | w: DEN | L: GOS
1984-01-21 | w: NJN | L: DET
1984-01-21 | w: WAS | L: PHL
1984-01-22 | w: BOS | L: MIL
1984-01-24 | w: LAL | L: PHX
1984-01-24 | w: IND | L: DET
1984-01-24 | w: HOU | L: GOS
1984-01-24 | w: ATL | L: CHI
1984-01-24 | w: BOS | L: CLE
1984-01-24 | w: KCK | L: NJN
1984-01-24 | w: SAN | L: SEA
1984-01-24 | w: DAL | L: UTH
1984-01-24 | w: SDC | L: POR
1984-01-24 | w: WAS | L: MIL
1984-01-24 | w: NYK | L: PHL
1984-01-25 | w: ATL | L: MIL
1984-01-25 | w: IND | L: DEN
1984-01-25 | w: DAL | L: GOS
1984-01-25 | w: BOS | L: PHL
1984-01-26 | w: LAL | L: HOU
1984-01-26 | w: NYK | L: WAS
1984-01-26 | w: DEN | L: CHI
1984-01-26 | w: SEA | L: KCK
1984-01-26 | w: UTH | L: NJN
1984-01-26 | w: SAN | L: GOS
1984-01-26 | w: SDC | L: PHX
1984-01-31 | w: LAL | L: POR
1984-01-31 | w: WAS | L: ATL
1984-01-31 | w: BOS | L: CHI
1984-01-31 | w: HOU | L: KCK
1984-01-31 | w: NYK | L: SAN
1984-01-31 | w: IND | L: SDC
1984-01-31 | w: MIL | L: GOS
1984-01-31 | w: UTH | L: SEA
1984-01-31 | w: CLE | L: DET
1984-02-01 | w: SEA | L: MIL
1984-02-01 | w: ATL | L: CHI
1984-02-01 | w: BOS | L: KCK
1984-02-01 | w: PHX | L: POR
1984-02-01 | w: LAL | L: DEN
1984-02-01 | w: NJN | L: SDC
1984-02-01 | w: NYK | L: DAL
1984-02-01 | w: PHL | L: IND
1984-02-02 | w: GOS | L: SAN
1984-02-02 | w: DET | L: WAS
1984-02-02 | w: HOU | L: DAL
1984-02-02 | w: UTH | L: PHX
1984-02-03 | w: LAL | L: UTH
1984-02-03 | w: BOS | L: IND
