============ Start of Season ============
2017-01-07 | w: IND | L: NYK
2017-01-07 | w: ATL | L: DAL
2017-01-07 | w: UTA | L: MIN
2017-01-07 | w: OKC | L: DEN
2017-01-08 | w: LAL | L: ORL
2017-01-08 | w: CLE | L: PHX
2017-01-08 | w: PHI | L: BKN
2017-01-08 | w: LAC | L: MIA
2017-01-08 | w: DET | L: POR
2017-01-08 | w: WAS | L: MIL
2017-01-08 | w: GSW | L: SAC
2017-01-08 | w: HOU | L: TOR
2017-01-08 | w: MEM | L: UTA
2017-01-09 | w: OKC | L: CHI
2017-01-09 | w: NOP | L: NYK
2017-01-09 | w: MIN | L: DAL
2017-01-10 | w: GSW | L: MIA
2017-01-10 | w: MIL | L: SAS
2017-01-10 | w: POR | L: LAL
2017-01-10 | w: ATL | L: BKN
2017-01-10 | w: HOU | L: CHA
2017-01-10 | w: UTA | L: CLE
2017-01-10 | w: SAC | L: DET
2017-01-10 | w: TOR | L: BOS
2017-01-10 | w: WAS | L: CHI
2017-01-11 | w: PHI | L: NYK
2017-01-11 | w: BOS | L: WAS
2017-01-11 | w: LAC | L: ORL
2017-01-11 | w: POR | L: CLE
2017-01-11 | w: MIN | L: HOU
2017-01-11 | w: OKC | L: MEM
2017-01-12 | w: GSW | L: DET
2017-01-12 | w: SAS | L: LAL
2017-01-12 | w: NYK | L: CHI
2017-01-12 | w: DAL | L: PHX
2017-01-12 | w: NOP | L: BKN
2017-01-12 | w: DEN | L: IND
2017-01-13 | w: PHI | L: CHA
2017-01-13 | w: MEM | L: HOU
2017-01-13 | w: ORL | L: POR
2017-01-13 | w: UTA | L: DET
2017-01-13 | w: BOS | L: ATL
2017-01-13 | w: MIL | L: MIA
2017-01-13 | w: CLE | L: SAC
2017-01-13 | w: MIN | L: OKC
2017-01-13 | w: TOR | L: BKN
2017-01-14 | w: CHI | L: NOP
2017-01-14 | w: PHX | L: SAS
2017-01-14 | w: LAC | L: LAL
2017-01-14 | w: UTA | L: ORL
2017-01-14 | w: WAS | L: PHI
2017-01-15 | w: DET | L: LAL
2017-01-15 | w: HOU | L: BKN
2017-01-15 | w: ATL | L: MIL
2017-01-15 | w: DAL | L: MIN
2017-01-15 | w: OKC | L: SAC
2017-01-15 | w: CHI | L: MEM
2017-01-15 | w: TOR | L: NYK
2017-01-16 | w: GSW | L: CLE
2017-01-16 | w: ATL | L: NYK
2017-01-16 | w: UTA | L: PHX
2017-01-16 | w: BOS | L: CHA
2017-01-16 | w: LAC | L: OKC
2017-01-16 | w: IND | L: NOP
2017-01-16 | w: PHI | L: MIL
2017-01-16 | w: DEN | L: ORL
2017-01-16 | w: WAS | L: POR
2017-01-17 | w: SAS | L: MIN
2017-01-17 | w: DEN | L: LAL
2017-01-17 | w: DAL | L: CHI
2017-01-17 | w: TOR | L: BKN
2017-01-17 | w: MIA | L: HOU
2017-01-18 | w: PHI | L: TOR
2017-01-18 | w: GSW | L: OKC
2017-01-18 | w: NYK | L: BOS
2017-01-18 | w: HOU | L: MIL
2017-01-18 | w: DET | L: ATL
2017-01-18 | w: IND | L: SAC
2017-01-18 | w: CHA | L: POR
2017-01-18 | w: WAS | L: MEM
2017-01-18 | w: NOP | L: ORL
2017-01-19 | w: SAS | L: DEN
2017-01-19 | w: WAS | L: NYK
2017-01-19 | w: CLE | L: PHX
2017-01-19 | w: MIN | L: LAC
2017-01-19 | w: MIA | L: DAL
2017-01-20 | w: PHI | L: POR
2017-01-20 | w: LAL | L: IND
2017-01-20 | w: GSW | L: HOU
2017-01-20 | w: ORL | L: MIL
2017-01-20 | w: ATL | L: CHI
2017-01-20 | w: UTA | L: DAL
2017-01-20 | w: CHA | L: TOR
2017-01-20 | w: MEM | L: SAC
2017-01-20 | w: BKN | L: NOP
2017-01-21 | w: CHI | L: SAC
2017-01-21 | w: PHX | L: NYK
2017-01-21 | w: POR | L: BOS
2017-01-21 | w: SAS | L: CLE
2017-01-21 | w: DET | L: WAS
2017-01-21 | w: MIA | L: MIL
2017-01-21 | w: UTA | L: IND
2017-01-21 | w: ATL | L: PHI
2017-01-21 | w: DEN | L: LAC
2017-01-21 | w: CHA | L: BKN
2017-01-21 | w: HOU | L: MEM
2017-01-22 | w: GSW | L: ORL
2017-01-22 | w: DAL | L: LAL
2017-01-22 | w: MIN | L: DEN
2017-01-22 | w: PHX | L: TOR
2017-01-23 | w: SAS | L: BKN
2017-01-23 | w: SAC | L: DET
2017-01-23 | w: MIA | L: GSW
2017-01-23 | w: OKC | L: UTA
2017-01-23 | w: LAC | L: ATL
2017-01-23 | w: NYK | L: IND
2017-01-23 | w: MIL | L: HOU
2017-01-23 | w: WAS | L: CHA
2017-01-23 | w: NOP | L: CLE
2017-01-24 | w: PHI | L: LAC
2017-01-24 | w: MIN | L: PHX
2017-01-24 | w: CHI | L: ORL
2017-01-24 | w: DEN | L: UTA
2017-01-24 | w: WAS | L: BOS
2017-01-24 | w: SAS | L: TOR
2017-01-25 | w: ATL | L: CHI
2017-01-25 | w: BOS | L: HOU
2017-01-25 | w: MIA | L: BKN
2017-01-25 | w: SAC | L: CLE
2017-01-25 | w: POR | L: LAL
2017-01-25 | w: PHI | L: MIL
2017-01-25 | w: DAL | L: NYK
2017-01-25 | w: GSW | L: CHA
2017-01-25 | w: MEM | L: TOR
2017-01-25 | w: OKC | L: NOP
2017-01-26 | w: UTA | L: LAL
2017-01-26 | w: DEN | L: PHX
2017-01-26 | w: IND | L: MIN
2017-01-26 | w: OKC | L: DAL
2017-01-27 | w: HOU | L: PHI
2017-01-27 | w: MIA | L: CHI
2017-01-27 | w: NYK | L: CHA
2017-01-27 | w: BOS | L: ORL
2017-01-27 | w: CLE | L: BKN
2017-01-27 | w: POR | L: MEM
2017-01-27 | w: IND | L: SAC
2017-01-27 | w: WAS | L: ATL
2017-01-27 | w: TOR | L: MIL
2017-01-27 | w: NOP | L: SAS
2017-01-28 | w: GSW | L: LAC
2017-01-28 | w: DEN | L: PHX
