============ Start of Season ============
1980-02-05 | w: POR | L: SAC
1980-02-05 | w: UTA | L: CHI
1980-02-05 | w: BKN | L: SAS
1980-02-05 | w: PHI | L: IND
1980-02-06 | w: BOS | L: PHI
1980-02-06 | w: GSW | L: LAC
1980-02-06 | w: HOU | L: BKN
1980-02-06 | w: PHX | L: SAC
1980-02-06 | w: MIL | L: CLE
1980-02-06 | w: DEN | L: CHI
1980-02-07 | w: OKC | L: DET
1980-02-07 | w: ATL | L: UTA
1980-02-07 | w: IND | L: WAS
1980-02-08 | w: BOS | L: IND
1980-02-08 | w: SAC | L: GSW
1980-02-08 | w: HOU | L: CLE
1980-02-08 | w: PHX | L: CHI
1980-02-08 | w: MIL | L: WAS
1980-02-08 | w: OKC | L: PHI
1980-02-08 | w: LAC | L: POR
1980-02-08 | w: LAL | L: BKN
1980-02-09 | w: NYK | L: DET
1980-02-09 | w: HOU | L: UTA
1980-02-09 | w: DEN | L: LAC
1980-02-09 | w: IND | L: SAS
1980-02-10 | w: BOS | L: DET
1980-02-10 | w: MIL | L: PHX
1980-02-10 | w: PHI | L: LAL
1980-02-10 | w: CHI | L: CLE
1980-02-10 | w: SAS | L: UTA
1980-02-10 | w: OKC | L: BKN
1980-02-10 | w: ATL | L: GSW
1980-02-10 | w: SAC | L: WAS
1980-02-12 | w: CHI | L: GSW
1980-02-12 | w: ATL | L: POR
1980-02-12 | w: WAS | L: DEN
1980-02-12 | w: HOU | L: SAS
1980-02-13 | w: LAL | L: POR
1980-02-13 | w: CLE | L: DET
1980-02-13 | w: OKC | L: ATL
1980-02-13 | w: HOU | L: NYK
1980-02-13 | w: PHX | L: BOS
1980-02-13 | w: MIL | L: CHI
1980-02-13 | w: PHI | L: UTA
1980-02-13 | w: BKN | L: IND
1980-02-13 | w: WAS | L: LAC
1980-02-14 | w: OKC | L: DEN
1980-02-14 | w: MIL | L: GSW
1980-02-14 | w: IND | L: CLE
1980-02-14 | w: NYK | L: SAS
1980-02-14 | w: BKN | L: UTA
1980-02-15 | w: LAL | L: SAC
1980-02-15 | w: PHI | L: DET
1980-02-15 | w: MIL | L: HOU
1980-02-15 | w: SAS | L: CHI
1980-02-15 | w: PHX | L: WAS
1980-02-15 | w: BOS | L: POR
1980-02-15 | w: GSW | L: IND
1980-02-15 | w: DEN | L: ATL
1980-02-16 | w: UTA | L: NYK
1980-02-16 | w: CLE | L: DET
1980-02-16 | w: PHI | L: CHI
1980-02-17 | w: LAL | L: WAS
1980-02-17 | w: ATL | L: DET
1980-02-17 | w: OKC | L: BOS
1980-02-17 | w: PHX | L: BKN
1980-02-17 | w: POR | L: GSW
1980-02-17 | w: PHI | L: CLE
1980-02-17 | w: SAS | L: MIL
1980-02-17 | w: DEN | L: HOU
1980-02-17 | w: IND | L: CHI
1980-02-17 | w: SAC | L: LAC
1980-02-19 | w: NYK | L: POR
1980-02-19 | w: CHI | L: OKC
1980-02-19 | w: CLE | L: PHX
1980-02-19 | w: BKN | L: LAC
1980-02-20 | w: ATL | L: MIL
1980-02-20 | w: GSW | L: HOU
1980-02-20 | w: SAC | L: OKC
1980-02-20 | w: BOS | L: UTA
1980-02-20 | w: SAS | L: CHI
1980-02-20 | w: IND | L: NYK
1980-02-20 | w: LAL | L: DEN
1980-02-21 | w: PHX | L: DET
1980-02-21 | w: WAS | L: CLE
1980-02-21 | w: LAC | L: PHI
1980-02-22 | w: LAL | L: BKN
1980-02-22 | w: ATL | L: PHX
1980-02-22 | w: WAS | L: SAS
1980-02-22 | w: HOU | L: UTA
1980-02-22 | w: DEN | L: GSW
1980-02-23 | w: NYK | L: CLE
1980-02-23 | w: POR | L: DET
1980-02-23 | w: OKC | L: UTA
1980-02-23 | w: BOS | L: DEN
1980-02-24 | w: LAL | L: HOU
1980-02-24 | w: PHI | L: GSW
1980-02-24 | w: WAS | L: NYK
1980-02-24 | w: CHI | L: LAC
1980-02-24 | w: POR | L: CLE
1980-02-24 | w: MIL | L: SAC
1980-02-24 | w: PHX | L: IND
1980-02-24 | w: BKN | L: SAS
1980-02-26 | w: LAL | L: OKC
1980-02-26 | w: BOS | L: ATL
1980-02-26 | w: HOU | L: IND
