============ Start of Season ============
1990-02-16 | w: CHI | L: MIA
1990-02-16 | w: PHX | L: GSW
1990-02-16 | w: CLE | L: ATL
1990-02-16 | w: WAS | L: LAC
1990-02-16 | w: POR | L: BOS
1990-02-16 | w: MIN | L: IND
1990-02-16 | w: CHA | L: DEN
1990-02-17 | w: SAS | L: HOU
1990-02-17 | w: UTA | L: SAC
1990-02-17 | w: DEN | L: BKN
1990-02-17 | w: DAL | L: ORL
1990-02-17 | w: DET | L: MIA
1990-02-17 | w: NYK | L: CLE
1990-02-18 | w: PHX | L: GSW
1990-02-18 | w: LAL | L: BOS
1990-02-18 | w: PHI | L: POR
1990-02-18 | w: CHI | L: MIL
1990-02-18 | w: OKC | L: CHA
1990-02-18 | w: MIN | L: ATL
1990-02-18 | w: WAS | L: IND
1990-02-19 | w: CHI | L: HOU
1990-02-19 | w: DAL | L: CLE
1990-02-19 | w: SAC | L: LAC
1990-02-19 | w: DET | L: MIA
1990-02-19 | w: UTA | L: PHI
1990-02-19 | w: DEN | L: GSW
1990-02-20 | w: LAL | L: SAS
1990-02-20 | w: PHX | L: BOS
1990-02-20 | w: OKC | L: ORL
1990-02-20 | w: MIL | L: BKN
1990-02-20 | w: WAS | L: ATL
1990-02-20 | w: SAC | L: LAC
1990-02-20 | w: MIN | L: HOU
1990-02-20 | w: POR | L: CHA
1990-02-21 | w: DET | L: ORL
1990-02-21 | w: OKC | L: MIA
1990-02-21 | w: PHI | L: GSW
1990-02-21 | w: BKN | L: MIN
1990-02-21 | w: CLE | L: POR
1990-02-21 | w: UTA | L: BOS
1990-02-21 | w: IND | L: ATL
1990-02-21 | w: LAL | L: DEN
1990-02-22 | w: UTA | L: LAC
1990-02-22 | w: MIL | L: DAL
1990-02-22 | w: PHX | L: SAC
1990-02-22 | w: NYK | L: WAS
1990-02-23 | w: ATL | L: DET
