============ Start of Season ============
1972-01-29 | w: BOS | L: DET
1972-01-29 | w: SAC | L: CLE
1972-01-30 | w: LAL | L: POR
1972-01-30 | w: BOS | L: PHI
1972-01-30 | w: MIL | L: WAS
1972-01-30 | w: CHI | L: DET
1972-01-30 | w: PHX | L: ATL
1972-01-30 | w: LAC | L: CLE
1972-02-01 | w: MIL | L: GSW
1972-02-01 | w: NYK | L: DET
1972-02-01 | w: BOS | L: WAS
1972-02-01 | w: OKC | L: CHI
1972-02-01 | w: PHX | L: POR
1972-02-01 | w: CLE | L: LAC
1972-02-02 | w: BOS | L: CHI
1972-02-02 | w: DET | L: CLE
1972-02-02 | w: HOU | L: OKC
1972-02-02 | w: MIL | L: PHX
1972-02-02 | w: PHI | L: LAC
1972-02-02 | w: SAC | L: NYK
1972-02-03 | w: GSW | L: ATL
1972-02-04 | w: LAL | L: MIL
1972-02-04 | w: BOS | L: SAC
1972-02-04 | w: CHI | L: WAS
1972-02-04 | w: PHX | L: GSW
1972-02-04 | w: POR | L: HOU
1972-02-04 | w: OKC | L: CLE
1972-02-04 | w: DET | L: PHI
1972-02-04 | w: NYK | L: LAC
1972-02-05 | w: ATL | L: CLE
1972-02-05 | w: LAL | L: GSW
1972-02-05 | w: NYK | L: PHI
1972-02-05 | w: MIL | L: HOU
1972-02-05 | w: CHI | L: LAC
1972-02-05 | w: SAC | L: DET
1972-02-05 | w: PHX | L: POR
1972-02-06 | w: LAL | L: WAS
1972-02-06 | w: BOS | L: OKC
1972-02-06 | w: HOU | L: ATL
1972-02-06 | w: CHI | L: SAC
1972-02-06 | w: PHX | L: POR
1972-02-06 | w: NYK | L: PHI
1972-02-06 | w: LAC | L: CLE
1972-02-08 | w: GSW | L: WAS
1972-02-08 | w: LAL | L: NYK
1972-02-08 | w: OKC | L: HOU
1972-02-08 | w: CHI | L: CLE
1972-02-08 | w: PHX | L: PHI
1972-02-08 | w: POR | L: SAC
1972-02-08 | w: MIL | L: LAC
1972-02-09 | w: LAL | L: ATL
1972-02-09 | w: BOS | L: LAC
1972-02-09 | w: NYK | L: DET
1972-02-09 | w: MIL | L: CLE
1972-02-10 | w: GSW | L: PHI
1972-02-10 | w: OKC | L: SAC
1972-02-10 | w: PHX | L: WAS
1972-02-11 | w: BOS | L: LAL
1972-02-11 | w: HOU | L: WAS
1972-02-11 | w: CHI | L: ATL
1972-02-11 | w: NYK | L: MIL
1972-02-11 | w: POR | L: PHI
1972-02-11 | w: LAC | L: DET
1972-02-12 | w: CHI | L: ATL
1972-02-12 | w: NYK | L: CLE
1972-02-12 | w: DET | L: LAC
