============ Start of Season ============
1988-03-05 | w: MIL | L: ATL
1988-03-05 | w: WAS | L: DET
1988-03-05 | w: DEN | L: OKC
1988-03-05 | w: HOU | L: SAC
1988-03-05 | w: CHI | L: LAC
1988-03-05 | w: POR | L: GSW
1988-03-05 | w: UTA | L: SAS
1988-03-05 | w: BKN | L: NYK
1988-03-06 | w: BOS | L: CLE
1988-03-06 | w: DET | L: MIL
1988-03-06 | w: LAL | L: DAL
1988-03-06 | w: PHI | L: IND
1988-03-07 | w: NYK | L: CHI
1988-03-07 | w: UTA | L: BKN
1988-03-07 | w: SAC | L: DEN
1988-03-07 | w: LAL | L: PHI
1988-03-08 | w: ATL | L: PHX
1988-03-08 | w: MIL | L: SAS
1988-03-08 | w: HOU | L: DEN
1988-03-08 | w: IND | L: DET
1988-03-08 | w: POR | L: DAL
1988-03-08 | w: OKC | L: GSW
1988-03-09 | w: BOS | L: SAS
1988-03-09 | w: LAL | L: NYK
1988-03-09 | w: DET | L: UTA
1988-03-09 | w: WAS | L: PHX
1988-03-09 | w: CLE | L: MIL
1988-03-09 | w: OKC | L: SAC
1988-03-09 | w: BKN | L: LAC
1988-03-10 | w: GSW | L: BKN
1988-03-10 | w: POR | L: HOU
1988-03-10 | w: CHI | L: LAL
1988-03-11 | w: ATL | L: NYK
1988-03-11 | w: BOS | L: IND
1988-03-11 | w: DET | L: PHX
1988-03-11 | w: UTA | L: WAS
1988-03-11 | w: MIL | L: DEN
1988-03-11 | w: CLE | L: SAS
1988-03-11 | w: GSW | L: LAC
1988-03-11 | w: PHI | L: SAC
1988-03-12 | w: DAL | L: LAL
1988-03-12 | w: NYK | L: UTA
1988-03-12 | w: DET | L: CLE
1988-03-12 | w: CHI | L: SAS
1988-03-13 | w: BOS | L: ATL
1988-03-13 | w: OKC | L: BKN
1988-03-13 | w: HOU | L: GSW
1988-03-13 | w: MIL | L: PHX
1988-03-13 | w: POR | L: LAC
1988-03-13 | w: DEN | L: IND
1988-03-13 | w: PHI | L: WAS
1988-03-14 | w: LAL | L: BKN
1988-03-14 | w: NYK | L: CLE
1988-03-14 | w: DET | L: SAC
1988-03-14 | w: WAS | L: SAS
1988-03-14 | w: UTA | L: DEN
1988-03-14 | w: DAL | L: GSW
1988-03-15 | w: HOU | L: LAC
1988-03-15 | w: CHI | L: CLE
