============ Start of Season ============
1967-03-21 | w: ATL | L: CHI
1967-03-21 | w: BOS | L: NYK
1967-03-21 | w: GSW | L: LAL
1967-03-21 | w: SAC | L: PHI
1967-03-22 | w: PHI | L: SAC
1967-03-23 | w: GSW | L: LAL
1967-03-23 | w: ATL | L: CHI
1967-03-24 | w: PHI | L: SAC
1967-03-25 | w: ATL | L: CHI
1967-03-25 | w: BOS | L: NYK
1967-03-25 | w: PHI | L: SAC
1967-03-26 | w: NYK | L: BOS
1967-03-26 | w: GSW | L: LAL
1967-03-28 | w: BOS | L: NYK
1967-03-30 | w: GSW | L: ATL
1967-03-31 | w: PHI | L: BOS
1967-04-01 | w: GSW | L: ATL
1967-04-02 | w: PHI | L: BOS
1967-04-05 | w: ATL | L: GSW
1967-04-05 | w: PHI | L: BOS
1967-04-08 | w: ATL | L: GSW
1967-04-09 | w: BOS | L: PHI
1967-04-10 | w: GSW | L: ATL
1967-04-11 | w: PHI | L: BOS
1967-04-12 | w: GSW | L: ATL
1967-04-14 | w: PHI | L: GSW
1967-04-16 | w: PHI | L: GSW
1967-04-18 | w: GSW | L: PHI
1967-04-20 | w: PHI | L: GSW
1967-04-23 | w: GSW | L: PHI
1967-04-24 | w: PHI | L: GSW
============ End of Playoffs ============
