============ Start of Season ============
1980-01-03 | w: BKN | L: ATL
1980-01-03 | w: NYK | L: LAC
1980-01-03 | w: MIL | L: IND
1980-01-03 | w: PHL | L: CLE
1980-01-04 | w: WAS | L: GOS
1980-01-04 | w: OKC | L: DET
1980-01-04 | w: CHI | L: LAC
1980-01-04 | w: POR | L: UTH
1980-01-04 | w: SAC | L: SAN
1980-01-04 | w: BKN | L: HOU
1980-01-05 | w: SAC | L: ATL
1980-01-05 | w: OKC | L: GOS
1980-01-05 | w: NYK | L: CHI
1980-01-05 | w: HOU | L: PHX
1980-01-05 | w: MIL | L: CLE
1980-01-05 | w: WAS | L: UTH
1980-01-05 | w: SAN | L: BOS
1980-01-05 | w: DEN | L: IND
1980-01-06 | w: MIL | L: LAL
1980-01-06 | w: POR | L: DET
1980-01-06 | w: SAC | L: DEN
1980-01-06 | w: BKN | L: CLE
1980-01-06 | w: LAC | L: OKC
1980-01-08 | w: PHL | L: NYK
1980-01-08 | w: CHI | L: MIL
1980-01-08 | w: IND | L: POR
1980-01-08 | w: LAC | L: SAC
1980-01-08 | w: UTH | L: DET
1980-01-08 | w: SAN | L: DEN
1980-01-08 | w: HOU | L: CLE
1980-01-09 | w: ATL | L: CLE
1980-01-09 | w: BOS | L: NYK
1980-01-09 | w: WAS | L: LAL
1980-01-09 | w: OKC | L: IND
1980-01-09 | w: HOU | L: DEN
1980-01-09 | w: PHX | L: GOS
1980-01-09 | w: LAC | L: MIL
1980-01-09 | w: PHL | L: BKN
1980-01-10 | w: SAC | L: CHI
1980-01-11 | w: BOS | L: ATL
1980-01-11 | w: LAL | L: DET
1980-01-11 | w: OKC | L: UTH
1980-01-11 | w: IND | L: CHI
1980-01-11 | w: MIL | L: NYK
1980-01-11 | w: PHL | L: WAS
1980-01-11 | w: SAC | L: DEN
1980-01-11 | w: SAN | L: CLE
1980-01-11 | w: POR | L: BKN
1980-01-11 | w: LAC | L: GOS
1980-01-12 | w: ATL | L: SAN
1980-01-12 | w: GOS | L: PHX
1980-01-12 | w: HOU | L: CLE
1980-01-12 | w: OKC | L: DEN
1980-01-12 | w: LAC | L: UTH
1980-01-12 | w: IND | L: DET
1980-01-13 | w: LAL | L: BOS
1980-01-13 | w: DET | L: CHI
1980-01-13 | w: WAS | L: POR
1980-01-13 | w: OKC | L: GOS
1980-01-13 | w: PHX | L: UTH
1980-01-13 | w: HOU | L: MIL
1980-01-13 | w: PHL | L: NYK
1980-01-13 | w: SAC | L: BKN
1980-01-13 | w: ATL | L: SAN
1980-01-15 | w: LAL | L: UTH
1980-01-15 | w: CLE | L: NYK
1980-01-15 | w: OKC | L: WAS
1980-01-15 | w: CHI | L: SAC
1980-01-15 | w: SAN | L: BKN
1980-01-15 | w: PHX | L: DEN
1980-01-16 | w: BOS | L: CHI
1980-01-16 | w: LAL | L: GOS
1980-01-16 | w: BKN | L: HOU
1980-01-16 | w: SAC | L: MIL
1980-01-16 | w: PHL | L: POR
1980-01-16 | w: PHX | L: UTH
1980-01-16 | w: IND | L: DEN
1980-01-16 | w: LAC | L: ATL
1980-01-17 | w: DET | L: WAS
1980-01-17 | w: PHX | L: ATL
1980-01-17 | w: CLE | L: SAN
1980-01-18 | w: LAL | L: ATL
1980-01-18 | w: BOS | L: POR
1980-01-18 | w: GOS | L: LAC
1980-01-18 | w: OKC | L: NYK
1980-01-18 | w: HOU | L: WAS
1980-01-18 | w: UTH | L: CHI
1980-01-18 | w: DEN | L: MIL
1980-01-18 | w: PHL | L: BKN
1980-01-19 | w: DET | L: HOU
1980-01-19 | w: CHI | L: DEN
1980-01-19 | w: PHX | L: LAC
1980-01-19 | w: PHL | L: CLE
1980-01-19 | w: UTH | L: GOS
1980-01-19 | w: SAN | L: WAS
1980-01-19 | w: IND | L: SAC
1980-01-20 | w: MIL | L: POR
1980-01-20 | w: OKC | L: BOS
1980-01-21 | w: LAL | L: NYK
1980-01-22 | w: BOS | L: HOU
1980-01-22 | w: CHI | L: DET
1980-01-22 | w: CLE | L: WAS
1980-01-22 | w: SAC | L: ATL
1980-01-22 | w: SAN | L: LAC
1980-01-22 | w: UTH | L: MIL
1980-01-23 | w: OKC | L: ATL
1980-01-23 | w: MIL | L: GOS
1980-01-23 | w: BOS | L: DET
1980-01-23 | w: NYK | L: PHX
1980-01-23 | w: PHL | L: DEN
1980-01-23 | w: SAN | L: IND
1980-01-23 | w: BKN | L: CLE
1980-01-23 | w: HOU | L: LAC
1980-01-24 | w: BKN | L: WAS
1980-01-24 | w: POR | L: LAL
1980-01-24 | w: SAC | L: UTH
1980-01-25 | w: LAL | L: PHL
1980-01-25 | w: WAS | L: BOS
1980-01-25 | w: NYK | L: GOS
1980-01-25 | w: PHX | L: MIL
1980-01-25 | w: SAN | L: OKC
1980-01-25 | w: DET | L: BKN
1980-01-25 | w: IND | L: LAC
1980-01-25 | w: CHI | L: SAC
1980-01-26 | w: ATL | L: CHI
1980-01-26 | w: HOU | L: OKC
1980-01-26 | w: IND | L: CLE
1980-01-26 | w: SAC | L: UTH
1980-01-26 | w: DEN | L: POR
1980-01-27 | w: LAL | L: MIL
1980-01-27 | w: BOS | L: LAC
1980-01-27 | w: NYK | L: DET
1980-01-27 | w: WAS | L: GOS
1980-01-27 | w: PHX | L: PHL
1980-01-27 | w: ATL | L: SAN
1980-01-27 | w: IND | L: CLE
1980-01-27 | w: BKN | L: CHI
1980-01-28 | w: NYK | L: GOS
1980-01-28 | w: UTH | L: PHL
1980-01-29 | w: ATL | L: WAS
1980-01-29 | w: GOS | L: DET
1980-01-29 | w: BOS | L: CHI
1980-01-29 | w: MIL | L: POR
1980-01-29 | w: IND | L: HOU
1980-01-29 | w: SAC | L: DEN
1980-01-29 | w: LAC | L: PHX
1980-01-29 | w: CLE | L: LAL
1980-01-30 | w: BOS | L: CLE
1980-01-30 | w: WAS | L: IND
1980-01-30 | w: SAC | L: OKC
1980-01-30 | w: SAN | L: HOU
1980-01-30 | w: PHX | L: DEN
1980-01-30 | w: PHL | L: DET
1980-01-30 | w: UTH | L: BKN
1980-01-31 | w: BOS | L: WAS
1980-01-31 | w: OKC | L: MIL
1980-01-31 | w: PHL | L: HOU
1980-01-31 | w: LAL | L: CHI
1980-01-31 | w: POR | L: SAC
1980-01-31 | w: DEN | L: BKN
1980-01-31 | w: NYK | L: IND
1980-01-31 | w: ATL | L: GOS
1980-02-05 | w: LAL | L: NYK
1980-02-05 | w: OKC | L: CLE
1980-02-05 | w: POR | L: SAC
1980-02-05 | w: UTH | L: CHI
1980-02-05 | w: BKN | L: SAN
1980-02-05 | w: PHL | L: IND
1980-02-06 | w: BOS | L: PHL
1980-02-06 | w: GOS | L: LAC
1980-02-06 | w: HOU | L: BKN
1980-02-06 | w: PHX | L: SAC
1980-02-06 | w: MIL | L: CLE
1980-02-06 | w: DEN | L: CHI
1980-02-07 | w: OKC | L: DET
1980-02-07 | w: ATL | L: UTH
1980-02-07 | w: IND | L: WAS
1980-02-08 | w: BOS | L: IND
1980-02-08 | w: SAC | L: GOS
1980-02-08 | w: HOU | L: CLE
1980-02-08 | w: PHX | L: CHI
1980-02-08 | w: MIL | L: WAS
1980-02-08 | w: OKC | L: PHL
1980-02-08 | w: LAC | L: POR
1980-02-08 | w: LAL | L: BKN
1980-02-09 | w: NYK | L: DET
1980-02-09 | w: HOU | L: UTH
1980-02-09 | w: DEN | L: LAC
1980-02-09 | w: IND | L: SAN
1980-02-10 | w: BOS | L: DET
1980-02-10 | w: MIL | L: PHX
1980-02-10 | w: PHL | L: LAL
1980-02-10 | w: CHI | L: CLE
1980-02-10 | w: SAN | L: UTH
1980-02-10 | w: OKC | L: BKN
1980-02-10 | w: ATL | L: GOS
1980-02-10 | w: SAC | L: WAS
1980-02-12 | w: CHI | L: GOS
1980-02-12 | w: ATL | L: POR
1980-02-12 | w: WAS | L: DEN
1980-02-12 | w: HOU | L: SAN
1980-02-13 | w: LAL | L: POR
