============ Start of Season ============
1982-02-03 | w: UTH | L: POR
1982-02-03 | w: BKN | L: ATL
1982-02-03 | w: LAC | L: DAL
1982-02-03 | w: PHL | L: WAS
1982-02-04 | w: SAN | L: PHX
1982-02-04 | w: IND | L: DEN
1982-02-05 | w: BOS | L: DEN
1982-02-05 | w: OKC | L: GOS
1982-02-05 | w: LAL | L: WAS
1982-02-05 | w: HOU | L: PHX
1982-02-05 | w: MIL | L: DAL
1982-02-05 | w: POR | L: UTH
1982-02-05 | w: PHL | L: BKN
1982-02-05 | w: SAC | L: SAN
1982-02-05 | w: NYK | L: LAC
1982-02-05 | w: DET | L: CHI
1982-02-06 | w: CLE | L: ATL
1982-02-06 | w: BKN | L: DET
1982-02-06 | w: OKC | L: UTH
1982-02-06 | w: DAL | L: IND
1982-02-07 | w: LAL | L: BOS
1982-02-07 | w: GOS | L: SAN
1982-02-07 | w: DEN | L: WAS
1982-02-07 | w: OKC | L: LAC
1982-02-07 | w: MIL | L: PHX
1982-02-07 | w: POR | L: NYK
1982-02-07 | w: BKN | L: CLE
1982-02-07 | w: HOU | L: SAC
1982-02-07 | w: PHL | L: CHI
1982-02-09 | w: LAL | L: ATL
1982-02-09 | w: OKC | L: NYK
1982-02-09 | w: WAS | L: SAN
1982-02-09 | w: UTH | L: GOS
1982-02-09 | w: MIL | L: IND
1982-02-09 | w: HOU | L: LAC
1982-02-09 | w: DET | L: CHI
1982-02-10 | w: CHI | L: ATL
1982-02-10 | w: PHX | L: BOS
1982-02-10 | w: POR | L: CLE
1982-02-10 | w: SAC | L: LAL
1982-02-10 | w: UTH | L: DEN
1982-02-10 | w: BKN | L: DET
1982-02-10 | w: WAS | L: DAL
1982-02-10 | w: PHL | L: IND
1982-02-11 | w: NYK | L: GOS
1982-02-11 | w: DET | L: CLE
1982-02-11 | w: HOU | L: OKC
1982-02-11 | w: MIL | L: POR
1982-02-12 | w: SAN | L: LAL
1982-02-12 | w: PHX | L: ATL
1982-02-12 | w: UTH | L: SAC
1982-02-12 | w: BOS | L: LAC
1982-02-12 | w: BKN | L: GOS
1982-02-12 | w: DAL | L: OKC
1982-02-13 | w: POR | L: DET
1982-02-13 | w: HOU | L: WAS
1982-02-13 | w: MIL | L: CHI
1982-02-13 | w: IND | L: CLE
1982-02-13 | w: UTH | L: PHX
1982-02-13 | w: DEN | L: LAC
1982-02-13 | w: PHL | L: NYK
1982-02-14 | w: BOS | L: LAL
1982-02-14 | w: MIL | L: CLE
1982-02-14 | w: GOS | L: SAC
1982-02-14 | w: SAN | L: OKC
1982-02-14 | w: IND | L: POR
1982-02-14 | w: DAL | L: BKN
1982-02-14 | w: PHL | L: NYK
1982-02-15 | w: DEN | L: UTH
1982-02-16 | w: LAL | L: OKC
1982-02-16 | w: DAL | L: NYK
1982-02-16 | w: DET | L: HOU
1982-02-16 | w: PHX | L: CHI
1982-02-16 | w: WAS | L: POR
1982-02-16 | w: DEN | L: SAC
1982-02-16 | w: ATL | L: LAC
1982-02-17 | w: GOS | L: BOS
1982-02-17 | w: MIL | L: IND
1982-02-17 | w: HOU | L: CLE
1982-02-17 | w: SAC | L: PHX
1982-02-17 | w: ATL | L: UTH
1982-02-17 | w: SAN | L: DET
1982-02-17 | w: BKN | L: CHI
1982-02-17 | w: PHL | L: DAL
1982-02-18 | w: OKC | L: WAS
1982-02-18 | w: IND | L: LAC
1982-02-19 | w: HOU | L: BKN
1982-02-19 | w: LAL | L: GOS
1982-02-19 | w: PHX | L: NYK
1982-02-19 | w: MIL | L: CLE
1982-02-19 | w: BOS | L: POR
1982-02-19 | w: SAC | L: LAC
1982-02-19 | w: SAN | L: DEN
1982-02-19 | w: ATL | L: OKC
1982-02-19 | w: PHL | L: UTH
1982-02-20 | w: GOS | L: WAS
1982-02-20 | w: DET | L: IND
1982-02-20 | w: CLE | L: DAL
1982-02-20 | w: LAC | L: SAN
1982-02-20 | w: BKN | L: UTH
1982-02-21 | w: NYK | L: HOU
1982-02-21 | w: OKC | L: BOS
1982-02-21 | w: ATL | L: POR
1982-02-21 | w: LAL | L: DEN
1982-02-21 | w: IND | L: BKN
1982-02-21 | w: PHL | L: PHX
1982-02-21 | w: DAL | L: CHI
1982-02-21 | w: MIL | L: SAC
1982-02-23 | w: LAL | L: DEN
1982-02-23 | w: ATL | L: SAC
1982-02-23 | w: NYK | L: MIL
1982-02-23 | w: UTH | L: WAS
1982-02-23 | w: CHI | L: POR
1982-02-23 | w: HOU | L: DAL
1982-02-23 | w: SAN | L: GOS
1982-02-23 | w: PHL | L: LAC
1982-02-24 | w: BOS | L: UTH
1982-02-24 | w: PHX | L: CLE
1982-02-24 | w: HOU | L: DEN
1982-02-24 | w: IND | L: NYK
1982-02-24 | w: MIL | L: BKN
1982-02-24 | w: POR | L: SAC
1982-02-25 | w: SAN | L: DET
1982-02-25 | w: LAL | L: OKC
1982-02-25 | w: GOS | L: DAL
1982-02-26 | w: PHX | L: DEN
1982-02-26 | w: HOU | L: GOS
1982-02-26 | w: BOS | L: LAC
1982-02-26 | w: WAS | L: SAC
1982-02-26 | w: OKC | L: UTH
1982-02-26 | w: BKN | L: POR
1982-02-26 | w: IND | L: SAN
1982-02-26 | w: LAL | L: PHL
1982-02-26 | w: CHI | L: ATL
1982-02-27 | w: NYK | L: POR
1982-02-27 | w: DAL | L: HOU
1982-02-27 | w: DET | L: SAC
1982-02-27 | w: DEN | L: PHL
1982-02-28 | w: LAL | L: CLE
1982-02-28 | w: GOS | L: ATL
1982-02-28 | w: BOS | L: MIL
1982-02-28 | w: PHX | L: OKC
1982-02-28 | w: CHI | L: SAN
1982-02-28 | w: IND | L: DET
1982-02-28 | w: BKN | L: LAC
1982-02-28 | w: WAS | L: NYK
1982-03-02 | w: GOS | L: CLE
1982-03-02 | w: NYK | L: LAC
1982-03-02 | w: SAN | L: HOU
1982-03-02 | w: MIL | L: DET
1982-03-02 | w: BOS | L: DAL
1982-03-02 | w: BKN | L: WAS
1982-03-02 | w: IND | L: DEN
1982-03-02 | w: POR | L: PHX
1982-03-02 | w: CHI | L: PHL
1982-03-02 | w: SAC | L: UTH
1982-03-03 | w: OKC | L: CLE
1982-03-03 | w: PHX | L: UTH
1982-03-03 | w: BKN | L: LAL
1982-03-03 | w: PHL | L: LAC
1982-03-03 | w: MIL | L: ATL
1982-03-03 | w: SAC | L: IND
1982-03-04 | w: GOS | L: DAL
1982-03-04 | w: DET | L: CHI
1982-03-04 | w: HOU | L: UTH
1982-03-04 | w: BOS | L: SAN
1982-03-04 | w: NYK | L: LAL
1982-03-05 | w: OKC | L: DAL
1982-03-05 | w: BOS | L: HOU
1982-03-05 | w: PHX | L: SAC
1982-03-05 | w: CLE | L: POR
1982-03-05 | w: DEN | L: WAS
1982-03-05 | w: GOS | L: LAC
1982-03-05 | w: PHL | L: ATL
1982-03-05 | w: BKN | L: CHI
1982-03-06 | w: ATL | L: BKN
1982-03-06 | w: DET | L: NYK
1982-03-06 | w: WAS | L: UTH
1982-03-06 | w: SAN | L: MIL
1982-03-07 | w: BOS | L: NYK
1982-03-07 | w: POR | L: GOS
1982-03-07 | w: OKC | L: LAC
1982-03-07 | w: HOU | L: PHX
1982-03-07 | w: DEN | L: CLE
1982-03-07 | w: IND | L: DAL
1982-03-07 | w: PHL | L: LAL
1982-03-07 | w: SAC | L: CHI
1982-03-08 | w: BOS | L: DET
1982-03-08 | w: DAL | L: SAN
1982-03-08 | w: ATL | L: MIL
1982-03-09 | w: ATL | L: DEN
1982-03-09 | w: NYK | L: UTH
1982-03-09 | w: PHX | L: WAS
1982-03-09 | w: HOU | L: MIL
1982-03-09 | w: GOS | L: IND
1982-03-09 | w: LAC | L: SAN
1982-03-09 | w: LAL | L: SAC
1982-03-09 | w: CHI | L: OKC
1982-03-10 | w: BOS | L: IND
1982-03-10 | w: DEN | L: DET
1982-03-10 | w: CHI | L: MIL
1982-03-10 | w: BKN | L: PHX
1982-03-10 | w: DAL | L: POR
