============ Start of Season ============
1968-03-16 | w: PHL | L: CHI
1968-03-17 | w: LAL | L: DET
1968-03-17 | w: WAS | L: BOS
1968-03-17 | w: NYK | L: GSW
1968-03-17 | w: CHI | L: HOU
1968-03-18 | w: NYK | L: GSW
1968-03-18 | w: DET | L: OKC
1968-03-18 | w: PHL | L: LAL
1968-03-19 | w: LAL | L: HOU
1968-03-19 | w: OKC | L: CHI
1968-03-19 | w: SAC | L: PHL
1968-03-20 | w: DET | L: BOS
1968-03-20 | w: NYK | L: SAC
1968-03-20 | w: PHL | L: WAS
1968-03-20 | w: CHI | L: HOU
============ End of Regular Season ============
1968-03-22 | w: GSW | L: ATL
1968-03-22 | w: PHL | L: NYK
1968-03-23 | w: ATL | L: GSW
1968-03-23 | w: NYK | L: PHL
1968-03-24 | w: LAL | L: CHI
1968-03-24 | w: BOS | L: DET
1968-03-25 | w: LAL | L: CHI
1968-03-25 | w: DET | L: BOS
1968-03-26 | w: GSW | L: ATL
1968-03-27 | w: DET | L: BOS
1968-03-27 | w: CHI | L: LAL
1968-03-27 | w: PHL | L: NYK
1968-03-28 | w: BOS | L: DET
1968-03-29 | w: GSW | L: ATL
1968-03-29 | w: LAL | L: CHI
1968-03-30 | w: NYK | L: PHL
1968-03-31 | w: LAL | L: CHI
1968-03-31 | w: ATL | L: GSW
1968-03-31 | w: BOS | L: DET
1968-03-31 | w: PHL | L: NYK
1968-04-01 | w: PHL | L: NYK
1968-04-01 | w: BOS | L: DET
1968-04-02 | w: GSW | L: ATL
1968-04-05 | w: LAL | L: GSW
1968-04-05 | w: BOS | L: PHL
1968-04-10 | w: LAL | L: GSW
1968-04-10 | w: PHL | L: BOS
1968-04-11 | w: LAL | L: GSW
1968-04-11 | w: PHL | L: BOS
1968-04-13 | w: LAL | L: GSW
1968-04-14 | w: PHL | L: BOS
1968-04-15 | w: BOS | L: PHL
1968-04-17 | w: BOS | L: PHL
1968-04-19 | w: BOS | L: PHL
1968-04-21 | w: BOS | L: LAL
1968-04-24 | w: LAL | L: BOS
1968-04-26 | w: BOS | L: LAL
1968-04-28 | w: LAL | L: BOS
1968-04-30 | w: BOS | L: LAL
1968-05-02 | w: BOS | L: LAL
============ End of Playoffs ============
